DR2Name,KIC,RA,Dec,Gmag,BP_RP,parallax,pmra,pmde,rv_gaia,erv_gaia,Prot,RV_lam,e_RV_lam,Teff_lam,e_Teff_lam,logg_lam,e_logg_lam,feh_lam,e_feh_lam,afe_lam,e_afe_lam
Gaia DR2 2050248955672927744,1025986,291.03375,36.771137,10.0570,0.847284,8.8997513,11.035857,21.341856,-28.191136,1.4809337,9.72400,-46.9085,6.96118,5698.99,32.1638,4.44903,0.0729940,0.0156881,0.0462010,-0.00219407,0.0263526
Gaia DR2 2050236143797351808,1026474,291.14900,36.723814,15.4588,1.76392,2.6748713,-9.9854044,-0.26664989,0.0000000,NaN,1.56900,-2.69813,1.19917,4337.47,79.0564,4.49049,0.208060,-0.952368,0.128768,0.208172,0.0600078
Gaia DR2 2050239511051851136,1027016,291.26684,36.779943,14.1560,1.30941,2.1553347,7.2652615,2.4134234,0.0000000,NaN,1.25700,-41.7101,3.95126,4869.07,36.1768,4.55736,0.0662855,-0.0652450,0.0441894,0.0658646,0.0219733
Gaia DR2 2051694572946664960,1028018,291.47131,36.799824,12.6811,0.942397,2.6838798,3.4016568,-3.0176969,0.0000000,NaN,0.621000,-24.3312,6.64940,5542.87,23.4153,4.23589,0.0512186,-0.237506,0.0360558,-0.00968411,0.0160846
Gaia DR2 2050252842630106496,1160891,290.92442,36.828289,13.2300,0.998978,0.75959319,-1.5332612,-5.8678851,0.0000000,NaN,0.868000,-28.7111,12.4594,6773.86,48.3822,3.96572,0.0901680,-0.193356,0.0575982,0.140293,0.0364400
Gaia DR2 2050253667263886720,1160947,290.93868,36.899223,15.8544,1.47593,1.6000668,-4.7370123,4.5974119,0.0000000,NaN,25.1550,47.6460,35.3755,4731.71,145.685,4.62055,0.262497,-0.462260,0.160598,0.157111,0.0806870
Gaia DR2 2050243187543742336,1161620,291.10930,36.800030,13.5129,0.825472,1.7451003,3.4661978,-1.7449424,0.0000000,NaN,6.63600,-6.10977,6.66139,5869.53,31.8481,4.50453,0.0730836,0.0188104,0.0478941,0.00503726,0.0278842
Gaia DR2 2050243634220456448,1162051,291.20214,36.850789,12.4127,0.894719,3.3599775,-9.1934360,-30.568982,18.419157,0.77928270,19.3880,10.6486,4.20009,5610.90,19.4522,4.42970,0.0378825,-0.173319,0.0325381,0.0428111,0.0125305
Gaia DR2 2050241710075252352,1162715,291.35180,36.881320,13.6120,0.898223,1.9545709,-2.8261826,-14.094266,0.0000000,NaN,6.62500,2.29941,4.61081,5603.86,23.2160,4.41723,0.0480464,-0.0684590,0.0361390,0.0174323,0.0155381
Gaia DR2 2051694989565637760,1163579,291.54646,36.855492,13.1620,0.879368,1.6453436,0.24890979,3.8686524,-14.035606,7.6881525,5.42900,-24.4301,4.58083,5642.15,19.6979,4.49558,0.0387582,-0.140231,0.0303244,0.00840268,0.0124546
